dtlr_key,dtlr_code,store_long,store_short,store_address,store_city,store_state,store_zip,store_phone,region_key,speed_dial,reg_dm_key
3002,3002,52nd Street,52nd Street,4 South 52nd Street,Philadelphia,PA,19139,P:  215-748-5794,Philadelphia,3002,Jermaine Williams
3003,3003,Penn Street,Penn Street,"547 Penn Street, ",Reading,PA,19601,P:  610-376-9773,Central PA,3003,Winston Horshaw
3004,3004,Harrisburg,Harrisburg,333 Market Street,Harrisburg,PA,17103,P:  717-236-4690,Central PA,3004,Winston Horshaw
3005,3005,Lancaster,Lancaster,51 North Queen Street,Lancaster,PA,17602,P:  717-299-2367,Central PA,3005,Winston Horshaw
3006,3006,Germantown,Germantown,3600 Germantown Avenue,Philadelphia,PA,19140,P:  215-223-2325,Philadelphia,3006,Jermaine Williams
3007,3007,Allentown,Allentown,739 W. Hamilton St.,Allentown,PA,18101,P:  610-437-7967,Central PA,3007,Winston Horshaw
3008,3008,Broad Street,Broad Street,1231 North Broad Street,Philadelphia,PA,19122,P:  215-235-3020,Philadelphia,3008,Jermaine Williams
3011,3011,Olney,Olney,5620 North Broad Street,Philadelphia,PA,19141,P:  215-549-0809,Philadelphia,3011,Jermaine Williams
3012,3012,Kensington,Kensington,3058-70 Kensington Avenue,Philadelphia,PA,19134,P:  215-739-4900,Philadelphia,3012,Jermaine Williams
3013,3013,Norristown,Norristown,704 West Marshall Street,Norristown,PA,19401,P:  610-275-3609,Philadelphia,3013,Jermaine Williams
3014,3014,York,York,132 S. George Street,York,PA,17401,P:  717-845-3011,Central PA,3014,Winston Horshaw
3015,3015,Wilmington,Wilmington,605 North Market Street,Wilmington,DE,19801,P:  302-652-8835,NJ/DE,3015,Tamyra Washington
3016,3016,Whitman Plaza,Whitman Plaza,"424 West Oregon Ave., Space 260",Philadelphia,PA,19148,P:  215-218-4012,Philadelphia,3016,Jermaine Williams
3017,3017,Chelten,Chelten,5700 Germantown Avenue ,Philadelphia,PA,19144,P: 215-438-6345,Philadelphia,3017,Jermaine Williams
3018,3018,Wadsworth Plaza,Wadsworth Plaza,1616 East Wadsworth Avenue,Philadelphia,PA,19150,P: 215-242-4392,Philadelphia,3018,Jermaine Williams
3019,3019,Bethlehem,Bethlehem,1 West 4th Street,Bethlehem,PA,18015,P:  610-861-4814,Central PA,3019,Winston Horshaw
3020,3020,40TH & Lancaster,40TH & Lancaster,4034 Lancaster Avenue,Philadelphia,PA,19104,P:  215-243-3760,Philadelphia,3020,Jermaine Williams
3021,3021,Camden,Camden,2881 Mount Ephraim Ave.,Camden,NJ,8104,P: 856-964-3750,NJ/DE,3021,Tamyra Washington
3022,3022,Wood Street,Wood Street,"435 Wood St., Suite 2",Pittsburgh,PA,15222,P:  412-471-5260,Pittsburg/Ohio,3022,Edward Hrabik
3023,3023,Highland,Highland,6113 Penn Ave E,Pittsburgh,PA,15206,P:  412-661-0240,Pittsburg/Ohio,3023,Edward Hrabik
3024,3024,Atlantic City,Atlantic City,1625 Atlantic Ave.,Atlantic City,NJ,8401,P:  609-344-0197,NJ/DE,3024,Tamyra Washington
3025,3025,Edgewood Plaza,Edgewood Plaza,1729 South Braddock Avenue,Edgewood,PA,15218,P:  412-241-6421,Pittsburg/Ohio,3025,Edward Hrabik
3026,3026,Lee Harvard Plaza,Lee Harvard Plaza,"4071 Lee Road, Space #150",Cleveland,OH,44128,P:  216-751-5656,Cleveland,3026,Willie James
3027,3027,Tower City,Tower City,"230 West Huron Road, Space #7258",Cleveland,OH,44113,P:  216-363-0459,Cleveland,3027,Willie James
3028,3028,Westown Square,Westown Square,"10612 Lorain Avenue, Space # 230",Cleveland,OH,44111,P:  216-941-5917,Cleveland,3028,Willie James
3029,3029,Glenville Town Center,Glenville Town Center,"10581 St. Clair Ave, Building B, Space #1",Cleveland,OH,44108,P:  216-761-0059,Cleveland,3029,Willie James
3030,3030,Buckeye Plaza,Buckeye Plaza,"11301 Buckeye Road, Space #10",Cleveland,OH,44104,P:  216-791-5547,Cleveland,3030,Willie James
3031,3031,University Plaza,University Plaza,"3500 Main Street, Space #5A",Amherst,NY,14226,P:  716-834-0491 ,Western NY,3031,Rickey Hunley
3032,3032,Manhattan Plaza,Manhattan Plaza,"527 East Manhattan Boulevard, Suite #527",Toledo,OH,43608,P:  419-726-2843,Detroit East,3032,Brian Arscott
3034,3034,Prices Corner,Prices Corner,3226 Kirkwood Highway ,Wilmington,DE,19808,P:  302-633-2904,NJ/DE,3034,Tamyra Washington
3035,3035,Syracuse,Syracuse,317 South Salina Street,Syracuse,NY,13202,P:  315-472-0952,Western NY,3035,Rickey Hunley
3036,3036,Hannaford Plaza,Hannaford Plaza,"1154 Mohawk St, Space #1 B",Utica,NY,13501,P:  315-793-8258,Western NY,3036,Rickey Hunley
3037,3037,Dover Mall,Dover Mall,"1365 North DuPont Highway, Suite #5062",Dover,DE,19901,P:  302-741-2414,NJ/DE,3037,Tamyra Washington
3038,3038,Rochester,Rochester,"10 Franklin St, 1st Floor",Rochester,NY,14604,P:  585-325-2593,Western NY,3038,Rickey Hunley
3039,3039,Destiny Mall,Destiny Mall,"306 Hiawatha Blvd W., Sneaker Villa, Space #M207, Destiny USA",Syracuse,NY,13204,P: 315-479-1570,Western NY,3039,Rickey Hunley
3040,3040,Grand River,Grand River,15510 Grand River Ave,Detroit,MI,48227,P: 313-273-2745,Detroit East,3040,Brian Arscott
3041,3041,Genesee Valley Mall,Genesee Valley,3341 S. Linden Rd,Flint,MI,48507,P: 810-732-4756,Detroit West,3041,Michael Arnold
3042,3042,W. Madison St,W. Madison St,3913-39 W. Madison St ,Chicago,IL,60624,P: 773-826-9030,Chicago West,3042,Anthony Tolbert
3043,3043,W. 63rd St,W. 63rd St,2447-49 W. 63rd St,Chicago,IL,60629,P: 773-434-5038,Chicago South,3043,Henry Tunstall
3044,3044,E. 47th St,E. 47th St,"306 E, 47th St ",Chicago,IL,60653,P: 773-285-1749,Chicago South,3044,Henry Tunstall
3045,3045,S. Michigan Ave,S. Michigan Ave,11139 S. Michigan Ave,Chicago,IL,60628,P: 773-468-3603,Chicago South,3045,Henry Tunstall
3046,3046,Grand Blvd Plaza,Grand Blvd Plaza,5401-05 S. Wentworth Ave ,Chicago,IL,60609,P: 773-924-5497,Chicago South,3046,Henry Tunstall
3047,3047,Culver Ridge,Culver Ridge,"2255 East Ridge Road, Unit #3 ",Irondequoit,NY,14622,P: 585-266-4525,Western NY,3047,Rickey Hunley
3048,3048,W. Division St,W. Division St,"1555 W, Division St",Chicago,IL,60622,P: 773-489-5783,Chicago West,3048,Anthony Tolbert
